contrast_id,baseline_tag,variant_tag,baseline_label,variant_label,model_id,baseline_scale_size,variant_scale_size,endpoint,n_samples,mean_delta,median_delta,ci_low,ci_high,effect_size_dz,sign_flip_pvalue
c6_scale_probe:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,gpt-4.1 clustered scale_4,gpt-4.1 clustered scale_7,gpt-4.1,4,7,mean_expected_stage,30,1.326388888888889,1.375,1.1458333333333333,1.5166666666666666,2.502617060443188,0.0001999600079984003
c6_scale_probe:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7,gpt-5.2 clustered scale_4,gpt-5.2 clustered scale_7,gpt-5.2,4,7,mean_expected_stage,30,1.5958333333333334,1.625,1.4597222222222221,1.7430555555555558,3.8864968078029873,0.0001999600079984003
c7_scale_probe:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,gpt-4.1 clustered scale_4,gpt-4.1 clustered scale_9,gpt-4.1,4,9,mean_expected_stage,30,2.1468981481481477,2.21875,1.9153692129629631,2.395868055555556,3.1739849439189896,0.0001999600079984003
c7_scale_probe:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,gpt-5.2 clustered scale_4,gpt-5.2 clustered scale_9,gpt-5.2,4,9,mean_expected_stage,30,2.7134259259259257,2.75,2.523125,2.898171296296296,5.0779025845508485,0.0001999600079984003
c7_scale_probe_step:v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7__vs__v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,gpt-4.1 clustered scale_7,gpt-4.1 clustered scale_9,gpt-4.1,7,9,mean_expected_stage,30,0.8205092592592591,0.8250000000000002,0.613423611111111,1.0097777777777774,1.437172519745973,0.0001999600079984003
c7_scale_probe_step:v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7__vs__v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7,v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,gpt-5.2 clustered scale_7,gpt-5.2 clustered scale_9,gpt-5.2,7,9,mean_expected_stage,30,1.1175925925925925,1.1458333333333335,0.912037037037037,1.3097569444444443,1.9345410758393664,0.0001999600079984003
c4_small_model_scale:v3_b1_gpt_4_1_mini_abstain_true__vs__v3_1_c4_gpt_4_1_mini_scale_5,v3_b1_gpt_4_1_mini_abstain_true,v3_1_c4_gpt_4_1_mini_scale_5,gpt-4.1-mini scale_4,gpt-4.1-mini scale_5,gpt-4.1-mini,4,5,mean_score_expert_agreement_prob,30,0.00975,0.008750000000000147,-0.007749999999999957,0.02624999999999997,0.203734414636564,0.2579484103179364
c4_small_model_scale:v3_b1_gpt_5_2_chat_abstain_true__vs__v3_1_c4_gpt_5_2_chat_scale_5,v3_b1_gpt_5_2_chat_abstain_true,v3_1_c4_gpt_5_2_chat_scale_5,gpt-5.2-chat scale_4,gpt-5.2-chat scale_5,gpt-5.2-chat,4,5,mean_score_expert_agreement_prob,30,-0.025366666666666652,-0.048750000000000016,-0.05985166666666666,0.007635833333333349,-0.2526703795647689,0.16876624675064986
c6_scale_probe:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,gpt-4.1 clustered scale_4,gpt-4.1 clustered scale_7,gpt-4.1,4,7,mean_score_expert_agreement_prob,30,0.004583333333333325,0.0,-0.022916666666666658,0.03166666666666665,0.059134303711232676,0.7680463907218557
c6_scale_probe:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7,gpt-5.2 clustered scale_4,gpt-5.2 clustered scale_7,gpt-5.2,4,7,mean_score_expert_agreement_prob,30,0.02874999999999999,0.02249999999999991,-0.000337500000000011,0.057666666666666644,0.34267212381128165,0.07218556288742252
c7_scale_probe:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,gpt-4.1 clustered scale_4,gpt-4.1 clustered scale_9,gpt-4.1,4,9,mean_score_expert_agreement_prob,30,0.005833333333333331,-5.551115123125783e-17,-0.015416666666666686,0.029166666666666684,0.09291985212245603,0.6304739052189562
c7_scale_probe:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,gpt-5.2 clustered scale_4,gpt-5.2 clustered scale_9,gpt-5.2,4,9,mean_score_expert_agreement_prob,30,0.02966666666666667,0.03125,-0.0009250000000000161,0.057754166666666676,0.3507953093573638,0.07178564287142572
c7_scale_probe_step:v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7__vs__v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,gpt-4.1 clustered scale_7,gpt-4.1 clustered scale_9,gpt-4.1,7,9,mean_score_expert_agreement_prob,30,0.0012500000000000067,-0.006250000000000033,-0.020833333333333325,0.027510416666666638,0.018506923043642046,0.9218156368726255
c7_scale_probe_step:v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7__vs__v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7,v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,gpt-5.2 clustered scale_7,gpt-5.2 clustered scale_9,gpt-5.2,7,9,mean_score_expert_agreement_prob,30,0.0009166666666666804,-0.0025000000000000022,-0.033004166666666654,0.03083958333333334,0.010374195875077773,0.9578084383123375
c4_small_model_scale:v3_b1_gpt_4_1_mini_abstain_true__vs__v3_1_c4_gpt_4_1_mini_scale_5,v3_b1_gpt_4_1_mini_abstain_true,v3_1_c4_gpt_4_1_mini_scale_5,gpt-4.1-mini scale_4,gpt-4.1-mini scale_5,gpt-4.1-mini,4,5,mean_subset_size,30,0.037452641527718926,0.0819143446852425,-0.016349271768679664,0.09044806794584274,0.2427756418838143,0.1887622475504899
c4_small_model_scale:v3_b1_gpt_5_2_chat_abstain_true__vs__v3_1_c4_gpt_5_2_chat_scale_5,v3_b1_gpt_5_2_chat_abstain_true,v3_1_c4_gpt_5_2_chat_scale_5,gpt-5.2-chat scale_4,gpt-5.2-chat scale_5,gpt-5.2-chat,4,5,mean_subset_size,30,-0.079027700742097,-0.03436797121007651,-0.1879211649168112,0.018515778554091214,-0.27100937432905425,0.15696860627874426
c6_scale_probe:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,gpt-4.1 clustered scale_4,gpt-4.1 clustered scale_7,gpt-4.1,4,7,mean_subset_size,30,0.5111111111111112,0.5,0.31666666666666665,0.7166666666666667,0.856967026330334,0.0001999600079984003
c6_scale_probe:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7,gpt-5.2 clustered scale_4,gpt-5.2 clustered scale_7,gpt-5.2,4,7,mean_subset_size,30,0.24722222222222223,0.25,0.06944444444444445,0.43333333333333335,0.4754744570778861,0.015796840631873626
c7_scale_probe:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,gpt-4.1 clustered scale_4,gpt-4.1 clustered scale_9,gpt-4.1,4,9,mean_subset_size,30,0.7944444444444445,0.75,0.5110416666666667,1.0695138888888884,1.006548357738937,0.0001999600079984003
c7_scale_probe:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,gpt-5.2 clustered scale_4,gpt-5.2 clustered scale_9,gpt-5.2,4,9,mean_subset_size,30,0.26666666666666666,0.25,0.0972222222222223,0.4361111111111111,0.5496881862993802,0.005198960207958408
c7_scale_probe_step:v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7__vs__v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,gpt-4.1 clustered scale_7,gpt-4.1 clustered scale_9,gpt-4.1,7,9,mean_subset_size,30,0.2833333333333333,0.25,-0.013888888888888885,0.5972222222222221,0.3464390980961516,0.07678464307138572
c7_scale_probe_step:v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7__vs__v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7,v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,gpt-5.2 clustered scale_7,gpt-5.2 clustered scale_9,gpt-5.2,7,9,mean_subset_size,30,0.019444444444444448,0.0,-0.1528472222222222,0.1888888888888889,0.038900690058097376,0.850629874025195
